generic_name,month,n_reports,roll_mean,roll_std,zscore,is_anomaly
liraglutide,2014-05-01,211,53.0,59.42642509860407,2.6587498699078136,True
liraglutide,2014-06-01,96,79.33333333333333,83.58149715497244,0.19940617521799364,False
liraglutide,2014-07-01,124,95.16666666666667,74.25204823213072,0.38831700969639277,False
liraglutide,2014-08-01,126,109.83333333333333,68.71220173059999,0.23528087092961075,False
liraglutide,2014-09-01,461,129.33333333333334,47.78981760445071,6.9401115821747394,True
liraglutide,2014-10-01,122,194.16666666666666,136.31935543666083,-0.5293941306830638,False
liraglutide,2014-11-01,95,190.0,138.415317071486,-0.6863402259949041,False
liraglutide,2014-12-01,169,170.66666666666666,142.92328944810453,-0.011661267195167826,False
liraglutide,2015-01-01,106,182.83333333333334,138.3291967252997,-0.555438296124226,False
liraglutide,2015-02-01,220,179.83333333333334,140.0448737607581,0.28681283068800006,False
liraglutide,2015-03-01,233,195.5,138.0619426199704,0.27161721245095455,False
liraglutide,2015-04-01,180,157.5,59.25791086428887,0.3796961396686595,False
liraglutide,2015-05-01,149,167.16666666666666,56.99619870365628,-0.318734706521775,False
liraglutide,2015-06-01,200,176.16666666666666,46.64511407067915,0.5109502636700558,False
liraglutide,2015-07-01,226,181.33333333333334,47.403234770073134,0.9422704354105779,False
liraglutide,2015-08-01,2074,201.33333333333334,32.110226823656504,58.31994513620255,True
liraglutide,2015-09-01,7,510.3333333333333,766.6552462917518,-0.6565315189166384,False
liraglutide,2015-10-01,211,472.6666666666667,788.2536816702265,-0.3319574303950254,False
liraglutide,2015-11-01,2,477.8333333333333,786.0502316434151,-0.6053472337747379,False
liraglutide,2015-12-01,4,453.3333333333333,800.5072558488565,-0.5613107564613653,False
liraglutide,2016-01-01,214,420.6666666666667,816.7471252882784,-0.25303629516139625,False
liraglutide,2016-02-01,7,418.6666666666667,817.3336324088632,-0.5036702887820654,False
liraglutide,2016-03-01,4,74.16666666666667,107.17353529051283,-0.6547014286359735,False
liraglutide,2016-04-01,253,73.66666666666667,107.55587695085192,1.6673503895587256,False
liraglutide,2016-05-01,12,80.66666666666667,119.03556891394604,-0.5768583902539889,False
liraglutide,2016-06-01,17,82.33333333333333,117.77719077421908,-0.5547197458511169,False
liraglutide,2016-07-01,297,84.5,116.1563601358106,1.8294306032966592,False
liraglutide,2016-08-01,12,98.33333333333333,137.62218813355204,-0.6273213244477212,False
liraglutide,2016-09-01,12,99.16666666666667,136.97213828610109,-0.6363824625749578,False
liraglutide,2016-10-01,259,100.5,135.89518019414862,1.1663401142965975,False
liraglutide,2016-11-01,14,101.5,137.25705810631425,-0.6374899856313817,False
liraglutide,2016-12-01,10,101.83333333333333,136.9984184823562,-0.6703240398732078,False
liraglutide,2017-01-01,192,100.66666666666667,137.89222844912905,0.6623530155437864,False
liraglutide,2017-02-01,17,83.16666666666667,112.27540543977919,-0.5893246736228112,False
liraglutide,2017-03-01,8,84.0,111.65840765477596,-0.6806473564890504,False
liraglutide,2017-04-01,178,83.33333333333333,112.18496631307956,0.8438444987582044,False
liraglutide,2017-05-01,13,69.83333333333333,89.3720687165,-0.6359182924769948,False
liraglutide,2017-06-01,15,69.66666666666667,89.49785844737737,-0.6108153604458523,False
liraglutide,2017-07-01,221,70.5,88.85212434151549,1.6938255682163808,False
liraglutide,2017-08-01,18,75.33333333333333,97.18161691733059,-0.5899606854875139,False
liraglutide,2017-09-01,8,75.5,97.06235109454195,-0.6954292703486314,False
liraglutide,2017-10-01,197,75.5,97.06235109454195,1.2517726866275367,False
liraglutide,2017-11-01,13,78.66666666666667,101.29297441909186,-0.6482845137410608,False
liraglutide,2017-12-01,9,78.66666666666667,101.29297441909186,-0.6877739257455924,False
liraglutide,2018-01-01,163,77.66666666666667,102.07382948957483,0.8359961976546469,False
liraglutide,2018-02-01,11,68.0,87.48942793275157,-0.6515072889013841,False
liraglutide,2018-03-01,21,66.83333333333333,88.33213835669778,-0.5188749438879402,False
liraglutide,2018-04-01,13,69.0,86.74560507599294,-0.6455658468338719,False
liraglutide,2018-05-01,30,38.333333333333336,61.21002096607058,-0.13614328506687814,False
liraglutide,2018-06-01,21,41.166666666666664,60.18776176820998,-0.33506257874035633,False
liraglutide,2018-07-01,19,43.166666666666664,59.094556996958694,-0.4089491129937805,False
liraglutide,2018-08-01,19,19.166666666666668,6.765106552509014,-0.024636221968278568,False
liraglutide,2018-09-01,21,20.5,5.504543577821296,0.09083405243889459,False
liraglutide,2018-10-01,31,20.5,5.504543577821296,1.9075151012167864,False
liraglutide,2018-11-01,29,23.5,5.504543577821284,0.9991745768278426,False
liraglutide,2018-12-01,25,23.333333333333332,5.2788887719670905,0.3157230126759447,False
liraglutide,2019-01-01,18,24.0,5.176871642230811,-1.1590011139264962,False
liraglutide,2019-02-01,276,23.833333333333332,5.382068994986985,46.853109259941114,True
liraglutide,2019-03-01,28,66.66666666666667,102.66580086215077,-0.3766265527756838,False
liraglutide,2019-04-01,23,67.83333333333333,102.08117684797134,-0.43919295131269154,False
liraglutide,2019-05-01,21,66.5,102.70881169597929,-0.4429999651313381,False
liraglutide,2019-06-01,28,65.16666666666667,103.34295654115378,-0.3596439265008444,False
liraglutide,2019-07-01,15,65.66666666666667,103.11676229724632,-0.491352380911786,False
liraglutide,2019-08-01,19,65.16666666666667,103.400999350426,-0.4464818227743412,False
liraglutide,2019-09-01,27,22.333333333333332,5.125101625021891,0.9105510501261007,False
liraglutide,2019-10-01,22,22.166666666666668,4.915960401264644,-0.03390317518094581,False
liraglutide,2019-11-01,29,22.0,4.898979485580173,1.4288690166194906,False
liraglutide,2019-12-01,33,23.333333333333332,5.609515724802096,1.7232622459593352,False
liraglutide,2020-01-01,20,24.166666666666668,6.70571895226768,-0.6213601697783087,False
liraglutide,2020-02-01,277,25.0,5.549774770216828,45.407248119756474,True
liraglutide,2020-03-01,29,68.0,102.49682921925017,-0.38049957542174695,False
liraglutide,2020-04-01,4,68.33333333333333,102.33995635462622,-0.628623810532094,False
liraglutide,2020-05-01,17,65.33333333333333,104.21644144119871,-0.4637783891383789,False
liraglutide,2020-06-01,21,63.333333333333336,105.16399890964018,-0.4025458690450456,False
liraglutide,2020-07-01,25,61.333333333333336,105.96729055074873,-0.3428730992789984,False
